                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.76866,                 1.2931,                0.61513,                 1.1004,                0.92606,                0.86839,                 0.9007,                0.73772,                0.79171,                0.73493,                0.66929,                0.51378,                0.73299,                 1.5375,                0.61332,                0.98725,             0.00068075,             0.00068075,             0.00068075
                     48,                0.75178,                 1.2634,                0.60863,                 1.0971,                0.92018,                0.87872,                0.90721,                 0.7404,                0.78806,                0.74807,                0.69535,                0.53005,                0.71947,                 1.4269,                0.58298,                0.94641,             0.00066838,             0.00066838,             0.00066838
                     49,                0.76219,                 1.2966,                0.60977,                 1.0819,                0.92993,                0.86902,                0.90199,                0.72677,                0.78384,                0.72499,                0.66669,                0.50199,                0.74892,                 1.5447,                0.58333,                0.95705,               0.000656,               0.000656,               0.000656
                     50,                0.76992,                  1.272,                0.61425,                 1.1018,                0.94502,                0.86067,                0.90652,                0.72787,                0.80018,                0.72287,                0.66861,                 0.5071,                0.77108,                 1.5775,                0.59269,                0.97422,             0.00064362,             0.00064362,             0.00064362
                     51,                0.75712,                 1.2662,                0.60392,                 1.0938,                0.93651,                 0.8631,                0.90853,                0.74951,                0.80156,                0.72959,                0.67315,                0.52093,                  0.723,                 1.4385,                0.58285,                 0.9638,             0.00063125,             0.00063125,             0.00063125
                     52,                0.76714,                  1.298,                0.61602,                 1.0963,                 0.9281,                 0.8577,                0.88948,                0.73286,                0.79397,                0.72991,                0.67178,                0.51544,                 0.7346,                 1.5157,                0.57429,                0.96406,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75634,                  1.219,                0.59447,                 1.0956,                0.91815,                0.86192,                0.90665,                0.75257,                0.78624,                0.74711,                0.69842,                0.53993,                0.69005,                 1.4535,                0.54732,                0.94393,              0.0006065,              0.0006065,              0.0006065
                     54,                0.75669,                 1.2421,                0.59803,                 1.0954,                0.93758,                0.85799,                0.90587,                0.73568,                 0.7946,                0.73448,                0.68256,                 0.5287,                0.76301,                  1.637,                0.57839,                0.96859,             0.00059413,             0.00059413,             0.00059413
                     55,                0.73485,                 1.2434,                0.58822,                 1.0818,                 0.9229,                0.88789,                0.91611,                0.74127,                0.79382,                0.74226,                0.68322,                0.50998,                0.76345,                 1.5566,                0.55248,                0.96539,             0.00058175,             0.00058175,             0.00058175
                     56,                0.74013,                 1.2392,                0.58813,                 1.0831,                0.91088,                0.87737,                0.90635,                0.75601,                0.75679,                0.76043,                0.68361,                  0.532,                0.69902,                 1.3881,                0.56218,                0.95295,             0.00056938,             0.00056938,             0.00056938
